card_last4;post_date;desc_raw;amount_brl;installment_seq;installment_tot;fx_rate;iof_brl;category;merchant_city;ledger_hash;prev_bill_amount;interest_amount;amount_orig;currency_orig;amount_usd
0000;2024-00-05;R$ R$;14121.52;0;0;0.00;0.00;DIVERSOS;;910a28e4a78d146664c3d27ec45be8a38fd8c88f;0.00;0.00;0.00;;0.00
0000;2024-06-10;FARMACIA SAO JOAO 06/06 87,64 18/10 FARMACIA SAO JOAO 02/06;30.29;2;6;0.00;0.00;FARMÁCIA;;ad45115a86cd274aaf9723fcfff69423ea89e28f;0.00;0.00;0.00;;0.00
0000;2024-07-06;FARMACIA SAO JOAO 05/06 81,09 18/10 FARMACIA SAO JOAO -;0.05;0;0;0.00;0.00;AJUSTE;;f994b5de872a4854f28a772e501664d4498d28e2;0.00;0.00;0.00;;0.00
0000;2024-09-27;FARMACIA SAO JOAO 03/04 20,78 19/10 STREET WEAR COMPAN02/10;49.99;2;10;0.00;0.00;FARMÁCIA;;4d375a0341499af989d2ac6bb03880303a63fb20;0.00;0.00;0.00;;0.00
0000;2024-09-28;FARMACIA SAO JOAO 03/04 21,73 19/10 FARMACIA SAO JOAO 02/06;78.52;2;6;0.00;0.00;FARMÁCIA;;de06406864f0b72152602bcf2d6963fc66ed3c3e;0.00;0.00;0.00;;0.00
0000;2024-09-30;PANVEL FARMACIAS 03/03 42,70 19/10 FARMACIA SAO JOAO -;0.25;0;0;0.00;0.00;AJUSTE;;1a93d50cb458c2e8a34d4d8b479acecffebd0884;0.00;0.00;0.00;;0.00
0000;2024-10-01;PANVEL FARMACIAS 03/03 127,05 23/10 LIG AERO 02/05;57.98;2;5;0.00;0.00;FARMÁCIA;;26f67ef8ce396693b163c5fa403b363ac4f14f67;0.00;0.00;0.00;;0.00
0000;2024-10-03;IPLACE MOBILE 02/04 57,25 24/10 ZARA BRASIL 02/05;221.10;2;5;0.00;0.00;DIVERSOS;;bf514da8e9c3033a39a17e8441f513311a9103fc;0.00;0.00;0.00;;0.00
0000;2024-10-03;FARMACIA SAO JOAO 02/06 67,08 06/11 APPLE.COM/BILL;69.90;0;0;0.00;0.00;FX;;cdaa2f73ea175993467a3590e4ceae3f5952e68a;0.00;0.00;0.00;;0.00
0000;2024-10-07;PANVEL FARMACIAS 02/03 43,38 10/11 APPLE.COM/BILL;55.90;0;0;0.00;0.00;FX;;3888a8d32d05d61cf942d6edf33016d314c32a51;0.00;0.00;0.00;;0.00
0000;2024-10-07;PANVEL FARMACIAS - 0,02 11/11 IFD*IFOOD CLUB;4.95;0;0;0.00;0.00;FX;;667543a7efd3f1141e0c95bfe3692b70ba3413c5;0.00;0.00;0.00;;0.00
0000;2024-10-13;FARMACIA SAO JOAO 02/06 22,91 11/11 PANVEL FARMACIAS 01/03;58.88;1;3;0.00;0.00;FARMÁCIA;;0351cbed0157a777ed0996561b1a53acb1695a7c;0.00;0.00;0.00;;0.00
0000;2024-10-13;FARMACIA SAO JOAO - 0,05 12/11 BUFFON 25;312.82;0;0;0.00;0.00;FARMÁCIA;;88c9eb651438e9fa31ea8b420628e337439915b3;0.00;0.00;0.00;;0.00
0000;2024-10-14;PAQUETA 02/05 70,02 12/11 IFD*MISO DELIVERY LTDA;75.00;0;0;0.00;0.00;FX;;a091e8de4db81bcf12c581915c2b8d3a170ffc61;0.00;0.00;0.00;;0.00
0000;2024-10-14;PAQUETA - 0,12 13/11 FARMACIA SAO JOAO 01/06;44.78;1;6;0.00;0.00;FARMÁCIA;;9c59523992d42d7706e5453f3e1877062d40763f;0.00;0.00;0.00;;0.00
